epoch,acc,loss,val_acc,val_loss
0,0.9889499999682109,0.0036162496339529754,0.9815,0.0044212383862148276
1,0.9891499999682108,0.003408028782904148,0.9816,0.004272611777795828
2,0.9888166666666667,0.0032722663576404253,0.9814,0.004349976721161511
3,0.9889333333651225,0.00318154955736051,0.9817,0.004161400089276139
4,0.9900166666348775,0.003004944530315697,0.982,0.004231492854101816
5,0.98945,0.003086808749350409,0.9816,0.0042340932636841895
6,0.99015,0.0028696498677134516,0.9823,0.004123022527215653
7,0.9896,0.003020900306540231,0.9811,0.0042420319953525906
8,0.9896833333333334,0.002879224825433145,0.9809,0.004155671747334418
9,0.9902499999682108,0.0027648769967878856,0.9811,0.004187689569452777
10,0.99025,0.002623340991620595,0.9818,0.00412669022284681
11,0.9899,0.002726314190402627,0.9814,0.00410325727265299
12,0.9902999999682108,0.0026512418383422,0.9803,0.004203492500627362
13,0.9907666666984558,0.0025998801251562935,0.982,0.004071078110958433
14,0.9904166666666666,0.0025714763248339293,0.9825,0.004008318796347362
15,0.9905166666666667,0.0025517211528029294,0.9822,0.003993046280491398
16,0.9903666666348775,0.0025555682233534753,0.9818,0.004007582161135906
17,0.9907666666666667,0.002518146597943269,0.9814,0.00399692916424683
18,0.9903,0.0025210769167325147,0.9813,0.004064591596195532
19,0.9908333333015442,0.0024170975214180845,0.9817,0.003989635253898087
